,Job,Company,Location,Salary,Job Description,Date Posted,Job Rating,City,State/Zip
121,"Manager, Data Scientist",KPMG,"Houston, TX 77002 (Downtown area)+13 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Houston, TX 77002 (Downtown area)+13 locations
122,Data Engineer Mid Level - Machine Learning,USAA,"Hybrid remote in San Antonio, TX 78288",missing,"4 years of data engineering, data analysis or software development experience implementing data solutions with at least 1 year of data engineering or data…",PostedJust posted,3.9,Hybrid remote in San Antonio, TX 78288
123,Senior Data Scientist,Comcentric,Remote in Texas,missing,"Partner closely with data scientists, product scientists, software engineers, product teams, security, privacy, legal, and other stakeholders to define and…",PostedJust posted,4.2,Remote in Texas,
124,Data Scientist - Ads Optimization,Comcentric,"Remote in Houston, TX",missing,"We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet…",PostedJust posted,4.2,Remote in Houston, TX
125,Senior Data and AI Architect,PRICE WATERHOUSE COOPERS,"Austin, TX 78703 (Downtown area)+1 location",missing,"Working experience with data modeling, machine learning, Azure Databricks, Data Factory, Data Explorer, and Data Lake;",PostedJust posted,4.0,Austin, TX 78703 (Downtown area)+1 location
126,Data Engineer II (Data Science),C.H. Robinson,"Houston, TX+4 locations",missing,Experience developing containerized data applications.Collaborate with engineering product manager(s) and peers to satisfy requirements of limited complexity…,PostedJust posted,3.4,Houston, TX+4 locations
127,Staff Data Scientist – REMOTE USA,Mandiant,"Remote in Austin, TX+1 location",missing,"Experience applying a variety of unsupervised, semi-supervised, and supervised machine learning techniques, and the ability to turn big data into actionable…",PostedToday,3.5,Remote in Austin, TX+1 location
128,Senior Data Scientist - Machine Learning Engineer,Walmart,"Dallas, TX 75202 (Downtown area)+1 location",missing,Strong ability on refactoring data science code and has mentored data scientists in developing ML solutions.Work closely with data engineers and data analysts…,PostedToday,3.5,Dallas, TX 75202 (Downtown area)+1 location
129,"Data Engineer, Consultant - Analytics & Cognitive",Deloitte,"Houston, TX 77002 (Downtown area)+13 locations",missing,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",PostedToday,4.0,Houston, TX 77002 (Downtown area)+13 locations
130,Data Pipeline Development Lead,Deloitte,"Houston, TX 77002 (Downtown area)+6 locations",missing,"Build tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance…",PostedToday,4.0,Houston, TX 77002 (Downtown area)+6 locations
131,Data Science Director (FAST)-Executive Director,"JPMorgan Chase Bank, N.A.","Plano, TX+12 locations",missing,"8+ years of industry experience in data science or business analytics roles (e.g., marketing analytics, sales analytics, business insights).",PostedToday,3.8,Plano, TX+12 locations
132,Senior Data Analyst - Supply Chain Strategy,Walmart,"Dallas, TX 75202 (Downtown area)+1 location",missing,Provide data support by leveraging the existing data or creating new data to facilitate the data scientists’ needs on developing optimization and machine…,PostedToday,3.5,Dallas, TX 75202 (Downtown area)+1 location
133,Data Engineering and AI/ML Lead - Base Compute Data Analytic...,"JPMorgan Chase Bank, N.A.","Plano, TX",missing,Deep understanding of machine learning and data science principles-with a strong understanding of running machine learning solutions in a real production…,PostedToday,3.8,Plano, TX
134,Staff Scientist - Machine Learning for Autonomous Driving Be...,Bosch Group,"Austin, TX 78712 (University of Texas area)",missing,"In addition, you will be responsible for the scoping, supervision, and publication of peer-reviewed research projects; and work in close collaboration with our…",PostedToday,4.1,Austin, TX 78712 (University of Texas area)
135,Data Scientist,Comcentric,"Spokane, WA",missing,Strong math/statistics/probability/data modeling background.We are looking a Data Scientist for REMOTE full-time position.$35K-$60K sign on bonus.,PostedJust posted,4.2,Spokane, WA
136,"Manager, Data Scientist",KPMG,"Seattle, WA 98101 (Downtown area)+2 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Seattle, WA 98101 (Downtown area)+2 locations
137,"Software Engineer, Machine Learning L001",TikTok,"Seattle, WA+14 locations",missing,"Design, architect and implement large-scale machine learning systems/infrastructure/services for computer vision, computer graphics and deep learning models.",PostedJust posted,3.3,Seattle, WA+14 locations
138,"Performance and Capacity Engineer, AI",Meta,"Bellevue, WA 98005 (Belred area)",missing,"Develop novel techniques to surface deep insights, centered around performance and utilization efficiency, to the partners in the product groups.",PostedJust posted,4.1,Bellevue, WA 98005 (Belred area)
139,"Technical Program Manager, AWS Health AI, Health AI",Amazon.com Services LLC,"Seattle, WA+11 locations",missing,Ability to take a project from scoping requirements through actual launch of the project.4+ years of project/program management.,PostedToday,3.5,Seattle, WA+11 locations
140,"Data Engineer, WWRO - Data & Analytics","Amazon Web Services, Inc.","Seattle, WA+3 locations",missing,"Amazon Web Services, Inc. provides services for broad range of applications including compute, storage, databases, networking, analytics, machine learning and…",PostedToday,3.5,Seattle, WA+3 locations
141,Data Pipeline Development Lead,Deloitte,"Seattle, WA 98104 (Downtown area)+1 location",missing,"Build tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance…",PostedToday,4.0,Seattle, WA 98104 (Downtown area)+1 location
142,"Mgr data science, People Analytics – (Seattle, Phoenix, Chic...",Starbucks,"Remote in Seattle, WA",missing,"Experience leading data scientists, decision scientists, or data analysts.This position leads a team of data scientists, decision scientists, and data analysts…",PostedToday,3.9,Remote in Seattle, WA
143,"Data Scientist, IPC Lab",Amazon.com Services LLC,"Bellevue, WA+94 locations",missing,We are looking for data scientists to drive innovation in SCOT by developing a new scientific approach and pushing our system further upstream in the innovation…,PostedToday,3.5,Bellevue, WA+94 locations
144,Data and Applied Scientist 2,Microsoft,"Redmond, WA 98052 (Overlake area)+11 locations",missing,"Work closely with data engineers, business and project stakeholders to incorporate their expertise into your data science solutions.",PostedToday,4.2,Redmond, WA 98052 (Overlake area)+11 locations
145,Principal Data & Applied Scientist Manager - Viva Insights T...,Microsoft,"Redmond, WA 98052 (Overlake area)+12 locations",missing,"5+ years of experience in a quantitative, strategic, or analytical role applying data science or analytics to drive product or service decisions and…",PostedToday,4.2,Redmond, WA 98052 (Overlake area)+12 locations
146,Applied Scientist,Amazon.com Services LLC,"Seattle, WA+77 locations",missing,"In Electrical Engineering, Computer Science, Computer Engineering, Mathematics, or related field with specialization in machine learning, NLP, ASR, deep…",PostedToday,3.5,Seattle, WA+77 locations
147,"Sr. Applied Scientist, Corporate Projects",Amazon.com Services LLC,"Seattle, WA+68 locations",missing,"Principal scientists, postdoctoral researchers, visiting academics/scholars, engineers, and stakeholders to develop new algorithms and methods to create robust…",PostedToday,3.5,Seattle, WA+68 locations
148,Director of Data Science and Analytics,"MV Transportation, Inc.","Redmond, WA",missing,MV Transportation is seeking an analytics professional to join our growing team of data analytics experts and manage the processes and people responsible for…,PostedToday,3.1,Redmond, WA
149,Senior Data Analyst,International Community Health Services,"Seattle, WA 98104 (International District area)",missing,Lead the design and creation of internal data processes and the development of actionable reports to support the analysis of key organizational information and…,PostedToday,3.4,Seattle, WA 98104 (International District area)
150,Database Administrator,Inflow-ns,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",missing,"Serve as primary administrator for all OCIO database servers – includes Oracle, Microsoft SQL Server, and MySQL.Session, Role, and Group Management.",PostedToday,5.0,Arlington, VA 22209 (Radnor-Ft Myer Heights area)
151,Database Administrator,Castellum Inc,"Remote in Fort Belvoir, VA 22060",missing,"Familiarity with computer operating systems and database technology (design, software and structure).CSD Database Administrator will be responsible for…",PostedToday,missing,Remote in Fort Belvoir, VA 22060
152,Oracle Database Administrator,Arlluk Technology Solutions,"Chantilly, VA 20151",missing,Include maintenance of database dictionaries and integration of systems through database design.Advise applications development staff and users on database…,PostedToday,missing,Chantilly, VA 20151
153,Database Engineer/Administrator - (Active TS/SCI + Polygraph...,General Dynamics Information Technology,"Chantilly, VA 20151",missing,"Extensive experience with database management systems (Oracle, PostGres, MySQL).Experience with database management in support of IBM Cognos Framework Manager,…",Posted1 day ago,3.8,Chantilly, VA 20151
154,SQL DBA,General Dynamics Information Technology,"Virginia Beach, VA+5 locations",missing,"Designs, develops, builds, analyzes, evaluates, installs and administers database management systems to include database modeling and design, relational…",Posted1 day ago,3.8,Virginia Beach, VA+5 locations
155,Database Systems Engineer,Sierra7,"Falls Church, VA 22042",missing,Installation and configuration of database.Review current performance database set up and document configuration.5 years of relevant experience.,Posted1 day ago,3.9,Falls Church, VA 22042
156,Senior Oracle DBA,CACI,Remote in Virginia+4 locations,missing,Query optimization and troubleshooting of database related issues.Minimum Clearance Required to Start: NACI.Percentage of Travel Required: None.,Posted1 day ago,3.8,Remote in Virginia+4 locations,
157,DB2 Database Administrator Needed!,Diaconia LLC,"Arlington, VA+1 location",missing,"We are currently searching for a new, full-time member for our team for our position in the DC Metro area for a DB2 Database Administrator needed to support a…",Posted2 days ago,missing,Arlington, VA+1 location
158,PostgresSQL Database Administrator,Dezign Concepts LLC,"Herndon, VA 20171",missing,"Provide database tuning, integration, O&M support in a Linux/AWS environment.Demonstrated experience providing database tuning, integration, operations and…",Posted2 days ago,missing,Herndon, VA 20171
159,Database & Development Coordinator,The George Washington Foundation,"Fredericksburg, VA 22401",missing,"Serves as the Foundation’s manager of the Raiser’s Edge development database, entering data as well as visit reports and organizing mailing lists.",Posted2 days ago,missing,Fredericksburg, VA 22401
160,JR Cloud Database Administrator,Deloitte,"Richmond, VA 23219 (City Center area)+10 locations",missing,The DOJ is currently searching for a database administrator to support the administration of business intelligence and web applications in AWS and support the…,Posted3 days ago,4.0,Richmond, VA 23219 (City Center area)+10 locations
161,Database Administrator DAII (Government),AT&T,"Chantilly, VA 20151",missing,"Executes database projects and assists in coordination of all database production scheduling; coordinates production support with outside vendors, as needed.",Posted3 days ago,3.7,Chantilly, VA 20151
162,Database Administrator 12-SA0202,Probity Inc.,"Lorton, VA+2 locations",missing,"Provide SQL infrastructure engineering to include database architecture maintenance, database upgrades, server configurations, and application configurations.",Posted3 days ago,missing,Lorton, VA+2 locations
163,System and Database Administrator,BOEING,"Springfield, VA",missing,"The Boeing Defense, Space & Security (BDS) is looking for a problem-solving IT Software/Systems Operations and Maintenance Analyst to support Satellite Ground…",Posted3 days ago,3.9,Springfield, VA
164,Senior Database Engineer,"Quadrint, Inc.","Chantilly, VA 20151",missing,Provide performance tuning of database queries and code.Provide database administration support to the Systems Administrators.Bachelor’s degree or equivalent.,Posted3 days ago,missing,Chantilly, VA 20151
165,Senior Database Administrator,Wegmans Food Markets,"Rochester, NY 14624",missing,Proactively monitor the database systems to ensure secure services with minimum downtime.Troubleshoot issues and provide support to IT development to optimize…,Posted1 day ago,4.1,Rochester, NY 14624
166,"Database Support Specialist, Data Assessment, Research & Eva...",CAMBA,"Brooklyn, NY 11226",missing,"Attend trainings for system administrators on or off site as needed.CAMBA’s Data Assessment, Research & Evaluation Department *maintains the agency’s client…",Posted1 day ago,3.5,Brooklyn, NY 11226
167,Sr. Database Engineer,Moody's Investors Service,"New York, NY",missing,The role will also take the lead in monitoring and improving the performance of complex databases; database administration activities; and database testing…,Posted1 day ago,3.6,New York, NY
168,Database Administrator (DBA),eCivis,Remote in New York State,missing,Install and configure relevant network components to ensure database access and database consistency and integrity.Manage and guide junior members of the team.,Posted2 days ago,missing,Remote in New York State,
169,Database Administrator (DBA),GTY Technology,Remote in New York State,missing,Install and configure relevant network components to ensure database access and database consistency and integrity.Manage and guide junior members of the team.,Posted2 days ago,missing,Remote in New York State,
170,Database Support Consultant - Access / SQL - D4409,SOFT Inc,"New York, NY 10013 (SoHo area)",missing,Modify database – transform MS Access databases as per specs/requirements.Two to three years of MS-Access database and forms experience.,Posted2 days ago,missing,New York, NY 10013 (SoHo area)
171,Database Coordinator,"NAACP Legal Defense and Educational Fund, Inc.","Hybrid remote in New York, NY 10006",missing,Enter and update donor/prospect information into Raiser’s Edge database on a regular basis with efficiency and accuracy;This position is open until filled.,Posted2 days ago,missing,Hybrid remote in New York, NY 10006
172,"Database Manager, Real Estate Development","Summit Health Management, LLC","Remote in New York, NY",missing,"The Database Manager is expected to become an expert in CoStar, Summit’s lease administration software and serve as the primary point person for all database…",Posted2 days ago,2.0,Remote in New York, NY
173,"Assistant Manager, Information Services - Database Administr...",Board of Elections,"Albany, NY 12207",missing,"Coordinate with internal and external entities on any database integration requirements of the system, both initial establishment and on-going operation.",Posted3 days ago,4.1,Albany, NY 12207
174,Association Management Database Administrator,AIChE,"New York, NY 10005 (Financial District area)",missing,"Ever eat an Impossible Burger, cooked plant-based chicken, or recycle a plastic water bottle?There isn’t a facet of modern life that chemical engineers haven’t…",Posted3 days ago,3.6,New York, NY 10005 (Financial District area)
175,Senior Distributed Computing Engineer - Database Engineer,Sumitomo Mitsui Banking Corporation,"New York, NY 11205 (Clinton Hill area)",missing,Experience with AWS database cloud support.Provide support for Level2 and Level3 database problem resolution.Responsible for maintaining Software End of Life.,Posted3 days ago,3.4,New York, NY 11205 (Clinton Hill area)
176,Database Administrator,Saks.com,"New York, NY 10001 (Chelsea area)+1 location",missing,"5+ years of proven information technology experience as a database administrator for Oracle, PostGres, or MS SQLServer.Your Life and Career at Saks:",Posted4 days ago,3.4,New York, NY 10001 (Chelsea area)+1 location
177,MongoDB Database Administrator,Rockstar Games New York & New England,"Hybrid remote in Manhattan, NY",missing,Configure and maintain database high availability.Diagnose and address database performance issues using performance monitors and various tuning techniques.,Posted4 days ago,missing,Hybrid remote in Manhattan, NY
178,"Systems & Database Administrator/ORACLE, SQL/NOT REMOTE, Hau...",FlexStaff,"Hauppauge, NY 11788",missing,Set and maintain database standards.Monitor and analyze database performance and ensure effective and efficient utilization of database systems/processes.,EmployerActive 3 days ago,4.3,Hauppauge, NY 11788
179,DATABASE ANALYST,"Rivers Casino & Resort, Schenectady","Schenectady, NY 12305 (Northside area)",missing,Database hygiene and other reports as required.Summary: Responsible for working within a company's marketing database to executive and support.,Posted4 days ago,missing,Schenectady, NY 12305 (Northside area)
180,Database Coordinator,Mayfield Junior School of the Holy Child Jesus,"Pasadena, CA 91101 (Pasadena area)",missing,Skill in strategic database segmentation.Minimum 3 years experience administering relational database management systems (RDBMS) and other information systems…,PostedJust posted,missing,Pasadena, CA 91101 (Pasadena area)
181,SQL Server DBA Developer,HCA Healthcare,"Remote in Campbell, CA 95008",missing,"Set up and Maintain MS SQL database.Experience in database administration and support in MS SQL Server (2005, 2008, 20012) required.Ensure quality of reports.",PostedJust posted,3.5,Remote in Campbell, CA 95008
182,Database Administrator,Envolve Pharmacy,"Fresno, CA",missing,Assist Information Technology/Service team with relational database management systems (RDBMS) and associated packages including the coordination of database…,PostedToday,3.2,Fresno, CA
183,Database Analyst I (FT),UDW,"Hybrid remote in Sacramento, CA 95814",missing,Understanding of database design and construction.Understanding of computer languages used within the database.Heavy data cleaning and standardization.,PostedToday,4.7,Hybrid remote in Sacramento, CA 95814
184,Database Administrator,Cimarron Software Services Inc,"El Segundo, CA 90245",missing,"Perform database migration activities as required.Develop and sustain existing database management and viewing applications.MySQL, Sybase, and/or PostgreSQL.",PostedToday,missing,El Segundo, CA 90245
185,Senior Database Administrator,Ease Inc,"Hybrid remote in Irvine, CA 92618",missing,5+ years of database development experience in MySQL or comparable relational database.Drive to 99.999 database uptime metrics.,PostedToday,missing,Hybrid remote in Irvine, CA 92618
186,Microsoft GP SQL Database Administrator,Sensorex,"Garden Grove, CA 92841",missing,"Hand-On experience in Database Architecture, Design, Development with data structures and database solutions within Microsoft SQL Server backend.",Posted1 day ago,missing,Garden Grove, CA 92841
187,Database Administrator,Curtis School,"Los Angeles, CA 90049 (Encino area)",missing,"Maintain Raiser’s Edge database integrity by updating records, contact information and constituent notes in order to ensure database includes all up-to-date and…",Posted1 day ago,5.0,Los Angeles, CA 90049 (Encino area)
188,Database Analyst/Administrator - IM-Data Services,Rady Children's Hospital-San Diego,California,missing,"Provides database programming, and structured analysis to accommodate database integration coordination and administration.Schedule: Days, 8-hour shifts.",Posted1 day ago,4.0,California,
189,Database Administrator,Curtis School Foundation,"Los Angeles, CA 90049 (Encino area)",missing,"Maintain Raisers Edge database integrity by updating records, contact information and constituent notes in order to ensure database includes all up-to-date and…",Posted1 day ago,missing,Los Angeles, CA 90049 (Encino area)
190,Donor Database Specialist,Ventura Botanical Gardens,"Ventura, CA",missing,"Maintain SOPs related to donor database maintenance and policies.Collects and enters gifts into donor database, and creates donor records to ensure accuracy…",Posted1 day ago,missing,Ventura, CA
191,Donor Database Specialist,Ventura Botanical Gardens,"Ventura, CA 93001 (Downtown area)",missing,"Maintain SOPs related to donor database maintenance and policies.Collects and enters gifts into donor database, creates donor records to ensure accuracy and…",Posted1 day ago,missing,Ventura, CA 93001 (Downtown area)
192,Database Administrator - Senior/ Lead / Principal Open detai...,Salesforce,"San Francisco, CA 94105 (Financial District/South Beach area)",missing,"Oracle database engineering skills (11g/12c) to include database infrastructure (Oracle RAC, Linux, SAN and Network) and database concepts (SQL, PL/SQL).",Posted1 day ago,4.3,San Francisco, CA 94105 (Financial District/South Beach area)
193,Senior Database Systems Engineer,Clear Capital,"Truckee, CA 96161+1 location",missing,"Provide advanced technical troubleshooting for applications and database systems.Understand and apply advanced database administration, management and…",Posted1 day ago,2.9,Truckee, CA 96161+1 location
194,Database Administrator (DBA),GTY Technology,Remote in California,missing,Install and configure relevant network components to ensure database access and database consistency and integrity.Manage and guide junior members of the team.,Posted2 days ago,missing,Remote in California,
195,Jr Database Administrator (Part-Time),Origami Risk LLC,"Remote in Dallas, TX",missing,"Overview: As a Jr. Database Administator (interlal: Delivery Support Specialist), you will provide centralized execution of implementation deliverables for…",PostedToday,missing,Remote in Dallas, TX
196,Principal Database Administrator (Postgres),Fidelity Investments,"Westlake, TX 76262+1 location",missing,"Job Description: The Role The role entails supporting critical database and replication Infrastructure. The associate will help design, engineer and deploy…",PostedToday,4.0,Westlake, TX 76262+1 location
197,"Senior Database Administrator (Application DBA- Postgres, Ae...",Fidelity Investments,"Westlake, TX 76262+1 location",missing,Job Description: The Role The role entails supporting critical database and replication Infrastructure. The associate will work on a breadth of RDBMS and…,PostedToday,4.0,Westlake, TX 76262+1 location
198,Position's Overview Required. Application DBA/Java Migration...,NTT DATA,"Dallas, TX 75201",missing,"Req ID: 191921 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an…",PostedToday,3.4,Dallas, TX 75201
199,ORACLE DATABASE ADMINISTRATOR,Cognizant,"Plano, TX 75024+1 location",missing,"We are Cognizant Artificial Intelligence Digital technologies, including analytics and AI, give companies a once-in-a-generation opportunity to perform orders…",PostedToday,3.9,Plano, TX 75024+1 location
200,IT Database Reporting Analyst,Twin Liquors LP,"Austin, TX 78751",missing,"Data and Reporting Analyst Develops and implements reports, data collection systems and other strategies that deliver business efficiency and quality;…",PostedToday,2.7,Austin, TX 78751
201,PostgreSQL Database Administrator,General Motors,"Austin, TX",missing,Job Description About the team: The Enterprise Technology Services (ETS) organization is seeking a Database Administrator. ETS provides a broad set of…,PostedToday,4.0,Austin, TX
202,Oracle Database Manager (only USC),"Esolvit Inc.,","San Antonio, TX 78249 (Tanglewoodridge area)",missing,5- 8 years of experience in Oracle Applications DBA 5- 8 years of experience in Oracle Applications System Administration 5- 8 years of experience in Oracle…,PostedToday,missing,San Antonio, TX 78249 (Tanglewoodridge area)
203,"Sirius Sr. Engineer, Commvault Data Protection",CDW,"Dallas, TX",missing,"Sirius Computer Solutions is a CDW company. We share common values as a performance-driven, customer-focused culture. CDW is a leading multi-brand provider of…",PostedToday,3.7,Dallas, TX
204,Oracle Database Administrator,"Adams Enterprise USA, INC","Dallas, TX 75201",missing,"QUALIFICATIONS: Required · Bachelor's degree or equivalent. In lieu of degree, 8+ years relevant work experience as an Oracle DBA, System Administrator, or…",Posted1 day ago,missing,Dallas, TX 75201
205,Sr. SQL Server Database Administrator,Epace technologies,"Austin, TX 78759 (Arboretum area)",missing,"Description: .Primarily MSSQL Server Powershell scripting, MSSQL engineering, deployment and support of MSSQL database technology. Production Support of…",Posted1 day ago,missing,Austin, TX 78759 (Arboretum area)
206,IT Senior Database Administrator,Builders FirstSource,"Dallas, TX",missing,"PURPOSE The IT department provides end-to-end solutions for the organization, including application development & integration, system deployment, user…",Posted1 day ago,3.3,Dallas, TX
207,Snowflake Database Engineer,Equinox IT Solutions LLC,"Irving, TX 75060 (Trinity View area)",missing,*Job Title: Snowflake Database Engineer* *Location: Irving Texas 75039 (Mandate – Locals only as required to be onsite) * *Duration: 06 Months Contract …,Posted1 day ago,missing,Irving, TX 75060 (Trinity View area)
208,Development Database Coordinator,Planned Parenthood of Greater Texas,"Hybrid remote in Dallas, TX",missing,Planned Parenthood of Greater Texas offers comprehensive reproductive healthcare services. We are here to educate and care for healthy communities. We believe…,Posted1 day ago,3.6,Hybrid remote in Dallas, TX
209,Database Analyst,Insurance Council of Texas,"Hybrid remote in Austin, TX 78741",missing,SCHEDULED START DATE: SEPTEMBER 1ST The Database Analyst will organize and manage collections of information in order to create a functional database system.…,Posted1 day ago,missing,Hybrid remote in Austin, TX 78741
210,Database Administrator (Remote - WA State),Banner Bank,Remote in Washington State,missing,Responsible for providing operational database services to the bank including:Performance tuning and optimization of database system and.,Posted1 day ago,3.3,Remote in Washington State,
211,Database Administrator (Remote OK),COMTECH TELECOMMUNICATIONS,"Remote in Seattle, WA 98121",missing,Proficient in database replication and database security procedures.Manage database security and conduct entitlement reviews on database instances.,Posted1 day ago,4.0,Remote in Seattle, WA 98121
212,Donor Database Administrator,DESC,"Seattle, WA 98104 (Downtown area)",missing,2 or more years database administrator experience.Clean and de-duplicate records in our database monthly or as needed.Shift: Office Day (9am-5pm).,Posted2 days ago,3.4,Seattle, WA 98104 (Downtown area)
213,SQL DBA (SQL Database Administrator),PRO IT,"Bellevue, WA 98004 (Downtown area)",missing,O Experience with SQL Server or an equivalent database product – Must have.4 + years of experience working as MS SQL DBA and technical support experience.,Posted3 days ago,missing,Bellevue, WA 98004 (Downtown area)
214,Cache Database Admin III,MultiCare Health System,"Tacoma, WA",missing,"This position supports best practices and requirements for data storage, database architecture, tuning, maintenance and reporting, ensuring hardware/software…",Posted3 days ago,3.6,Tacoma, WA
215,Financial Analyst (Database Management and Reporting),Olympia Orthopaedic Associates,"Olympia, WA 98502",missing,"-Must Provide a COVID-19 Vaccination Record-*.Olympia Orthopaedics is a drug-free, alcohol-free and smoke-free workplace.Power BI: 1 year (Preferred).",EmployerActive 4 days ago,3.2,Olympia, WA 98502
216,nframe z/OS IMS Database Administrator,Kyndryl,United States,missing,Understand IMS database organization and basic functional components (DLI and DBRC).This role is performed by technical professionals responsible for the…,Posted8 days ago,3.4,United States,
217,abase Administrator/Designer,Wireless Advocates,"Seattle, WA 98109 (South Lake Union area)",missing,Support both Azure and on-premise production SQL Server database environments.Ability to communicate directly with end users to understand business…,Posted11 days ago,2.9,Seattle, WA 98109 (South Lake Union area)
218,abase Administrator - FinTech,Amazon.com Services LLC,"Seattle, WA+2 locations",missing,"The Database Engineer will engineer solutions for multiple database technologies, and will be responsible for fast-paced, complex distributed database…",Posted10 days ago,3.5,Seattle, WA+2 locations
219,SQL DBA Support Engineer,Otomashen Inc,"Bellevue, WA",missing,Experience with SQL Server or an equivalent database product – Must have.Job Role (JG003): MS SQL DBA Engineer with Azure.Type of Hire: Full Time.,Posted10 days ago,missing,Bellevue, WA
220, DATABASE ADMINISTRATOR/DEVELOPER,Trident Seafoods Corporation,"Seattle, WA 98107 (Ballard area)",missing,"A minimum of 5 years of SQL database administrator (DBA) experience utilizing SQL Server stack including SSIS, SSAS, SSRS, or other related ETL and analytics…",Posted9 days ago,3.6,Seattle, WA 98107 (Ballard area)
221,abase Analyst,Port of Seattle,"Remote in Seattle, WA 98121",missing,"As a Database Analyst (a.k.a. Economic Development Analyst) in our Central Procurement Office (CPO), you will be the subject matter expert with various…",Posted9 days ago,3.8,Remote in Seattle, WA 98121
222,Software Specialist 4 - Database Administrator,Amentum,"Richland, WA 99354",missing,"Works with application administrators to resolve production software problems, especially as they relate to database issues.(EFNM) Exposed Field Non-Manual.",Posted8 days ago,3.9,Richland, WA 99354
223,C N6 GIS Administrator,Serco North America,"Silverdale, WA 98315",missing,"Experience with relational database management systems.Develop and maintain an enterprise spatial database, and operate associated application services to…",Posted11 days ago,3.4,Silverdale, WA 98315
224,um Master EDI/EIE - DBA,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",missing,"As proof, Costco consistently ranks in the top five of Forbes “America’s Best Employers”.The Scrum Master (SM) is responsible for facilitating team level Agile…",Posted10 days ago,4.1,Seattle, WA 98134 (Industrial District area)
225,Signal Processing Engineer,Hydra Systems,"Ashburn, VA",missing,"Machine learning experience implementing neural network and other architectures.We are developing next-generation EW capabilities for the Warfighter, applying…",PostedJust posted,missing,Ashburn, VA
226,"Advisory Associate, Federal Digital Lighthouse, Data Science...",KPMG,"McLean, VA 22102+11 locations",missing,Ability to apply artificial intelligence and machine learning techniques to achieve concrete business goals; Familiarity with machine learning models …,PostedJust posted,3.9,McLean, VA 22102+11 locations
227,Product Architect,CACI,Remote in Virginia,missing,Minimum Clearance Required to Start: None.Percentage of Travel Required: Up to 10%.HighVIEW is CACI’s commercial off-the-shelf (COTS) product designed for…,PostedToday,3.8,Remote in Virginia,
228,Agency Technical Lead,Booz Allen Hamilton,"Remote in McLean, VA 22102",missing,"Experience with innovative Cybersecurity products and capabilities, including A&O, AI, machine learning, NGFW, Big Data, and Cloud first architectures.",PostedToday,3.9,Remote in McLean, VA 22102
229,Electronics Automation Engineer,Elbit Systems of America,"Roanoke, VA 24019",missing,"Some experience and additional training in automated systems integration, software development, computer science, machine controls and robotics is preferred.",PostedToday,3.6,Roanoke, VA 24019
230,Staff Software Engineer - Instant Match Team (full stack),Indeed,Remote in United States,missing,Experience leading teams of less experienced engineers and leading code review sessions.Strong engineers who get excited about diving into new tech stacks are…,PostedToday,4.3,Remote in United States,
231,Graph Database Engineer,Bigbear.ai,"Reston, VA 20191 (Hattontown area)+1 location",missing,"BigBear.ai* seeks to hire a Graph Database Engineer to provide data modeling, ETL, data management, and analytics support to our team.",PostedToday,4.8,Reston, VA 20191 (Hattontown area)+1 location
232,Machine Learning Operations (MLOps) Engineer,Stori Card - US,"Remote in Arlington, VA",missing,"Strong background in engineering, machine learning, or data science.You will collaborate with data scientists, data engineers, and software engineers to…",PostedToday,missing,Remote in Arlington, VA
233,Senior Software Engineer,Bigbear.ai,"Chantilly, VA 20151+6 locations",missing,"6+ years of professional experience as a software developer, software engineer, or similar.The successful candidate will provide support to software…",PostedToday,4.8,Chantilly, VA 20151+6 locations
234,Test Engineer,Alion Science and Technology,"Suffolk, VA 23435",missing,"Huntington Ingalls Industries is seeking skilled, knowledgeable, and highly motivated Senior Test Engineer for the Testing and Evaluation (T&E) Team within the…",PostedToday,3.7,Suffolk, VA 23435
235,IT Solutions Engineer,Alion Science and Technology,"Arlington, VA",missing,The successful candidate will assist in defining how technology can create value for a customer organization.Cloud Strategy: Helping to enable organizations to…,PostedToday,3.7,Arlington, VA
236,Data Scientist- Market Intelligence,Capital One - US,"McLean, VA",missing,At least 1 year of experience with machine learning.At least 3 years’ experience with machine learning.Build machine learning models through all phases of…,PostedToday,3.9,McLean, VA
237,Data Scientist,Praxis Engineering,"Tysons Corner, VA 22102",missing,"Analyze both structured and unstructured data using data analytics, natural language processing, and artificial intelligence/machine learning techniques.",PostedToday,4.8,Tysons Corner, VA 22102
238,Senior Program Manager,Microsoft,"Reston, VA 20190 (Sunset Hills area)",missing,"We are a growing team of talented engineers and artists putting technology on a human path across all Windows devices, including Microsoft HoloLens, IVAS, IoT,…",PostedToday,4.2,Reston, VA 20190 (Sunset Hills area)
