songtitle,artist/bandname,year,lyricsurls,lyrics
Rock Music,Jefferson Starship,1979,https://www.azlyrics.com/lyrics/jeffersonstarship/rockmusic.html,"[""Rock 'n' roll is good time music "", ""Rock 'n' roll is good time music "", 'Mama said be a doctor son ', 'But a voice said follow the music ', 'Papa said be a lawyer boy ', ""But a voice said follow the mu' "", ""'Cause you know you're not doin' for the money "", ""You're doin' it just for the thrills "", ""You don't do it for money, boy "", ""So thank the Lord rock keeps payin' the bills "", ""Rock 'n' roll is good time music "", '[repeat twice]', ""You may think that life ain't no laughing matter "", ""And go right on a-talkin' all your intellectual chatter "", ""Well all that jivin', it ain't true "", ""So let's just push on through "", ""Rock 'n' roll to stay alive "", ""Rock 'n' roll will survive "", ""Sneakin' Monica out after the prom "", ""You know I didn't get her back, people "", ""'Till just before dawn "", ""Outside we were creepin' "", ""Inside everyone was sleepin' "", 'Goodness gracious! ', ""That's rock n roll! "", ""Rock 'n' roll is good time music "", '[repeat three times]']"
Recruiting Soldiers,Peter Tosh,1979,https://www.azlyrics.com/lyrics/petertosh/recruitingsoldiers.html,"['""Recruiting Soldiers"" lyrics', 'Peter Tosh Lyrics', '""Recruiting Soldiers""', '[Chorus:]', ""I'm recruiting soldiers"", 'For Jah army', 'Recruiting soldiers', 'Jah time is now', 'Satan forces', 'They all rise up to fight', 'They all rise up to fight Jah and the saints', 'See them fighting', 'Against Jah children', 'See them slaughter them light slaves', 'Hear them come say Jah is dead', ""But they didn't show me his grave"", 'No, no', '[Chorus]', 'Anti-Christ forces', 'They all rise up', 'To fight against Jah and his saints', 'I can tell you', 'But there is confusion', 'In high places', 'About the lamb that was slain', 'And all these years I hear them say', 'Their building a nation', 'But all these tricks were just a game', '[Chorus]', 'Lightning forces', 'Jah time is now', 'Lucifer forces', 'They all they all rise up', 'To fight against Jah and his saints', ""But that won't work"", 'Hear them praising old Marcus Garvey', 'Hear them exalting his name', 'But all these times they be doing that I say', ""If he was here right now he'd go to jail the same"", '[Chorus]', 'Only to fight... fighting a losing battle', 'But they fight']"
Power Flower,"Wonder, Stevie",1979,https://www.azlyrics.com/lyrics/steviewonder/powerflower.html,"['Pan is my name\r', 'I live outside the door\r', 'I have to keep the score of things around you', '\r', 'Fire and air,\r', 'water I prepare\r', 'I am the piper at the gates of dawning', '\r', ""It's not magic it's not madness\r"", 'Just the elements I style\r', 'And I guarantee faithfully I will never go\r', 'Until all is said and done\r', ""In a twinkling I'll be gone\r"", 'Well excuse me I have so much more to do', '\r', 'Fancy I fell,\r', ""A childlike tap I'll steal\r"", ""Look twice my friend it's not the wind at all"", '\r', ""You'll never see,\r"", 'What you refuse to be\r', 'The power in the seeing is believing.', '\r', ""It's not magic it's not madness\r"", 'Just the elements I style\r', 'And I guarantee faithfully I will never go\r', 'Until all is said and done\r', ""In a twinkling I'll be gone\r"", 'Well excuse me I have so much more to do', '\r', ""It's not magic it's not madness\r"", 'Just the elements I style\r', 'And I guarantee faithfully I will never go\r', 'Until all is said and done\r', ""In a twinkling I'll be gone\r"", 'Well excuse me I have so much more to do', '[Background]\r', 'Flower Power, Power Flower, Flower Power, Power of Love\r', 'Power Flower, Flower Power, Power Flower, Flower of Love', '[repeat]\r', ""He's a power flower yeah, oh\r"", 'Protecting all the flowers, yeah, oh\r', ""He's a flower's power, yeah\r"", 'Through earth, wind, fire, showers, yeah, oh, oh, oh, oh\r', 'oh, oh, oh, oh', '\r', ""He's a power flower yeah, oh\r"", 'Protecting all the flowers, yeah, oh']"
It Came Upon A Midnight Clear,"Cash, Johnny",1980,https://www.azlyrics.com/lyrics/johnnycash/itcameuponamidnightclear.html,"['It came upon the midnight clear, that glorious song of old', 'From angels bending near the earth to touch their harps of gold', ""Peace on the earth, goodwill to men, from heaven's all gracious king"", 'The world in solemn stillness lay to hear the angels sing', 'Still through the cloven skies they come with peaceful wings unfurl', ""And still their heavenly music floats, O'er all the weary world."", 'Above its sad and lowly plains they bend on hovering wing', ""And ever o'er its Babel sounds the blessed angels sing"", ""O ye, beneath life's crushing load, whose forms are bending low"", 'Who toil along the climbing way with painful steps and slow', 'Look now for glad and golden hours come swiftly on the wing', 'O rest beside the weary road and hear the angels sing', 'For lo the days are hastening on, by prophets seen of old', 'When with the ever circling years shall come the time foretold', 'When the new heaven and earth shall own the prince of peace their King', 'And the whole world send back the song which now the angels sing']"
C'etait Toi (You Were The One),Billy Joel,1980,https://www.azlyrics.com/lyrics/billyjoel/cetaittoiyouweretheone.html,"['Here I am again', 'In this smoky place', 'With my brandy eyes', ""I'm talking to myself"", 'You were the one', 'You were the one', 'Here I go again', 'Looking for your face', 'And I realize', 'That I should look for someone else', 'But you were the one', 'You were the one', ""I'm looking for comfort"", 'That I can take', 'From someone else', 'But after all', 'I know there is no one', 'That can save me from myself', 'You were the only one', 'Me revoici', 'Dans ce bar enfume', 'Avec mes yeux iures', 'Je me parle a moi meme', ""C'etait toi"", ""C'etait toi"", 'Me revoici', 'Cherchant ton visage', 'Et je realise', 'Que je devrais en chercher une autre', ""C'etait toi"", 'You were the one', ""Je recherche l'affection"", ""Qu'une autre pourrait me donner"", 'Mais apres tout', ""Je sais qu'il n'y a personne"", 'Personne qui puisse me sauver', 'Tu etais la seule', ""I'm looking for comfort"", 'That I can take', 'From someone else', 'But after all', 'I know there is no one', 'That can save me, save me from myself', 'You were the only one']"
Holdin' Out For Love,Dan Seals,1980,https://www.azlyrics.com/lyrics/danseals/holdinoutforlove.html,"['Had my share of disco nights', 'Tinsel talk and rainbow lights', 'Easy smiles that shine like gold', ""Burnin' hot and turnin' cold"", 'Lived that kind of life before', ""I've lost enough to learn the score"", 'Something tells me that there must be something more', ""This time, I'm holding out for love"", ""Made up my mind, I'm holding out for love"", ""Mister, this time, I'm holding off"", 'Holding back, holding out for love', 'Had my fill of party scenes', 'One-night stands and neon dreams', 'Good-time friends and fancy clothes', 'Flashing highs and crashing lows', ""So if that's what's on your mind"", ""I'll just take a pass this time"", ""I believe I'd rather leave it all behind"", ""This time, I'm holding out for love"", ""Made up my mind, I'm holding out for love"", ""Mister, this time, I'm holding off"", 'Holding back, holding out for love', 'I need to find someone', ""Who'll still be holdin' me"", ""When the dancing's done"", ""This time, I'm holding out for love"", ""(And I) Made up my mind, I'm holding out for love"", ""Mister, this time, I'm holding off"", 'Holding back, holding out for love', ""This time, I'm holding out for love"", ""(And I) Made up my mind, I'm holding out for love"", ""Mister, this time, I'm holding off"", 'Holding back, holding out for love', ""This time, I'm holding out for love"", ""(And I) Made up my mind, I'm holding out for love"", ""Mister, this time, I'm holding off"", 'Holding back, holding out for love', ""This time, I'm holding out for love"", ""(And I) Made up my mind, I'm holding out for love""]"
21 And Over,"Romantics, The",1980,https://www.azlyrics.com/lyrics/romantics/21andover.html,"['21 and over', ""You ain't got no past"", ""Can't stay here"", ""Somebody's gonna kick your ass"", ""You don't wanna stay"", ""They won't let you play"", 'In a grown-up world', '21 and over', 'Put away your toys', 'Grow up fast', ""Men can't act like boys"", ""You don't wanna stay"", ""They won't let you play"", 'In a grown-up world', 'Shut up, sit up, stand up, grow up', 'Better do what they say', ""Wise up, dress up and don't you ever mess up"", 'No way', '21 and over', ""Watch your P's and Q's"", 'Stay in line, follow all the rules', ""You don't wanna stay"", ""They won't let you play"", 'In a grown-up world', '21 and over']"
Beautiful You,"Oak Ridge Boys, The",1980,https://www.azlyrics.com/lyrics/oakridgeboys/beautifulyou.html,"[""Please don't cry, oh my, you're so blue"", ""But I'm here to help you, beautiful you."", ""You need someone to give you a love that's true"", ""Well I'm here to help you, beautiful you."", ""Beautiful you, you'll need a man someday,"", ""Beautiful you, you know I'm here to stay"", 'Days go by, oh my, what will you do?', 'Take me to help you, beautiful you.', ""Beautiful you, I'll never let you go,"", 'Beautiful you, our love will always grow', ""Please don't cry, oh my, what will you do"", 'Take me to help you, beautiful you.']"
Outside The Trains Don't Run On Time,Gang Of Four,1980,https://www.azlyrics.com/lyrics/gangoffour/outsidethetrainsdontrunontime.html,"[""He's become nostalgic"", 'Wants to own tomorrow', 'Discipline - is his passion', ""Now - he says there's none"", ""Outside the trains don't run on time"", ""He believes it's no coincidence"", 'He thinks sunblock will track him down', ""Home - it's no castle"", 'He wants his wife to run - and fetch', ""Order - he's obsessed with order order"", 'Discipline - is his passion', ""Now - he says there's none"", 'Order - his obsession', 'Order - his obsession', ""Now - he says there's none"", ""Outside the trains don't run on time"", ""He believes it's no coincidence"", 'He thinks sunblock will track him down', ""Home - it's no castle"", 'He wants his wife - to run - and fetch', 'Order', ""The trains don't run on time"", 'Nostalgia', 'Discipline', 'Is his passion', ""Now - he says there's none"", ""Outside the trains don't run on time""]"
Love Or Money,Sammy Hagar,1980,https://www.azlyrics.com/lyrics/sammyhagar/loveormoney.html,"[""I may be crazy, but I ain't no fool"", 'I live my life by the golden rule', ""That money can't buy everything it's true"", ""Yeah, but what it won't buy, I can't use"", 'I want love (love or money) I want money', 'Gimme love (love or money) or gimme money', 'My baby loved me when I was down', ""Yeah, but now I'm up, and she's still around"", ""And she's got a sports car, credit cards, her clothes are the best"", ""We're still alive, I wouldn't put it to the test no, no"", 'She wants love (love or money) and a whole lotta money', 'A whole lotta love (love or money) and a whole lotta money', 'Gimme love or money, gimme love or money', 'She said, ""Money honey.""', ""That's what I want, is a whole lotta money"", 'Over here!', 'My baby says her love is heavy ', ""Yeah, but it don't measure up to English pounds "", 'Or Swiss franks, German marks', 'Gimme the greenback dollar, oh yeah', 'Just gimme money, gimme money, gimme money', 'Love or money, gimme love or money', 'She says, ""Money honey, that\'s what I want.""', 'Just a whole lot of money', '(Love or money) ', ""That's what I want "", '(Love or money) ', 'G-G-G-G-Gimme money ', '(Love or money) ', 'G-G-G-Gimme Money, money, ayh', '(Love or money) ', '(Love or money)']"
When It Hurts You Most,"Conlee, John",1981,https://www.azlyrics.com/lyrics/johnconlee/whenithurtsyoumost.html,"['All hearts fall down sometimes', 'Some dreams have to end', 'All hearts can be broken', 'But always love again', 'I know lately times have been hard on you', ""You just don't talk it out like you used to do"", ""Form one friend to another I've seen you hurt each other"", ""Don't let it get the best of you"", ""You've got to laugh when it's hardest"", 'Love when it hurts you most', ""You've gotta turn your back on the blues"", 'When they come too close', 'When you feel like crying', ""When your heart's through trying"", ""Laugh when it's hardest"", 'Love when it hurts you most', 'I see that hopeless look in your eyes again', 'I know sometimes you think it will never end', 'When your affection needs a direction', ""And you don't know where to begin"", ""You've got to laugh when it's hardest"", 'Love when it hurts you most', ""You've gotta turn your back on the blues"", 'When they come too close', 'When you feel like crying', ""When your heart's through trying"", ""Laugh when it's hardest"", 'Love when it hurts you most', ""You've got to laugh when it's hardest"", 'Love when it hurts you most', 'All hearts can be broken', 'But always love again']"
Nothin' But A Fool,Natalie Cole,1981,https://www.azlyrics.com/lyrics/nataliecole/nothinbutafool.html,"['So what do you think', ""Maybe he'll buy you a drink"", 'And run his fingers through your hair', 'Apologize for having to stare', ""But he's never seen such a face"", ""What's it doing in such a place"", 'Says he knows a little spot', ""That he thinks you'll like a lot"", 'So he takes you in his car', '[Background repeats] (Hoo, hoo, hoo)', ""Says it isn't far"", 'And you end up at his home', ""Ah, but you knew that's where you were going"", 'And he turns his stereo on', 'Makes you feel like you belong', 'And you end up in his bed', ""You're great was all he said"", '[Chorus:]', ""Oh, you're nothin' but a fool"", 'If you think that he loves you', ""Oh, you're nothin' but a fool"", 'If you think that he cares', ""You're nothin' but a fool"", 'If you think that he wants you', ""Oh, you're nothin' but a fool"", 'If you think he cares', 'Yeah, yeah', 'So he lights a cigarette', '[Background repeats:] (hoo, hoo, hoo)', 'Turns on the tv set', 'And you just want to be held for a while', ""He don't even wanna smile"", 'So you try to tell a joke', 'He just lights another smoke', ""It's getting colder in that bed"", ""You're great was all he said"", 'Background repeats chorus', ""Oh, you're nothin' but a fool"", 'You silly fool', 'If you think that he loves you', ""Ah, you're nothin' but great big fool"", 'If you think he cares', ""You're nothin' but a fool, yes you"", 'If you think that he wants you', ""Oh, you're nothin' but a fool"", 'If you think he cares', '[Musical Interlude]', 'Just a silly fool, ha', 'Never thought it would happen to you', 'Oh, ho, ho, ho', '[Background repeats] (Hoo, hoo, hoo)', ""Now you'd really love stay"", ""But he says he's got a busy day"", ""And he'll call you tomorrow night"", ""You make sure he's got your number right"", 'He gives you money for a cab ride home', ""Suddenly you're all alone"", 'Waiting for his call', ""And you're staring at the wall"", ""Ah, you're nothin' but a fool"", '[Background repeats chorus]', 'If you think that he loves you', ""Ah, you're nothin' but a fool"", 'Silly fool, ha', 'You never thought it would happen to you', ""(You're nothin' but a fool)"", 'If you think that he wants you', ""Oh you're nothin' but a fool"", 'If you think that he cares', ""You're nothin' but a fool"", 'If you think that he loves you', ""Oh, you're nothin' but a fool"", 'If you think he cares', ""You're nothin' but a fool...""]"
I Won't Give Up My Train,"Haggard, Merle",1981,https://www.azlyrics.com/lyrics/merlehaggard/iwontgiveupmytrain.html,"['I pulled into Memphis thirteen minutes early first time in two weeks', ""That's where she came to meet me"", 'As I stepped down off four-fifty-one, I needed sleep', ""The baby's over due I know, she need's some things"", ""But the more that we discuss it, it's the same"", ""Long train rollin', got a feelin' and I'm knowin'"", ""She's not waitin' for me"", ""These rails keep gettin' longer, this feelin's gettin' stronger"", ""It won't let me be"", 'I love my woman fire and rain', ""But I won't give up my train"", ""The baby came in April while I was in Chicago in the pourin' rain"", 'With twelve flat cars, six rusted tankers', 'three box cars and an empty sack of mail', ""And though I'll be lonely, some nights I know"", ""There's just no other way to explain"", ""Long train rollin', got a feelin' and I'm knowin'"", ""She's not waitin' for me"", ""These rails keep gettin' longer, this feelin's gettin' stronger"", ""It won't let me be"", 'I love my woman fire and rain', ""But I won't give up my train"", ""Long train rollin', got a feelin' and I'm knowin'"", ""She's not waitin' for me"", ""These rails keep gettin' longer, this feelin's gettin' stronger"", ""It won't let me be"", 'I love my woman fire and rain', ""But I won't give up my train"", 'I love my woman fire and rain', ""But I won't give up my train""]"
Half As Much,"Williams, Paul",1981,https://www.azlyrics.com/lyrics/paulwilliams/halfasmuch.html,"['If you love me half as much as I love you', ""You wouldn't worry me half as much as you do"", ""You're nice to me when there's no one else around"", 'You only build me up to let me down', 'If you missed me half as much as I miss you', ""You wouldn't stay away half as much as you do"", 'I know that I would never feel so blue', 'If you only loved me half as much as I love you', 'If you love me half as much as I love you', ""You wouldn't worry me half as much as you do"", ""You're nice to me when there's no one else around"", 'You only build me up to let me down', 'If you missed me half as much as I miss you', ""You wouldn't stay away half as much as you do"", 'I know that I would never feel so blue', 'If you only loved me half as much as I love you']"
Chanson D'Amour,BZN,1981,https://www.azlyrics.com/lyrics/bzn/chansondamour.html,"[""It's for you, it's all because you're wonderful"", 'When I was lonely, you were the only to ease my mind', 'You gave me back my faith and then', 'I found myself in poetry again', 'You gave me words and I regained my dignity', ""A voice inside me says I won't loose you anymore"", 'So I wrote you this simple song', 'I used the words you whispered on and on', ""Chanson d'amour"", ""Je t'aime j'attendrai"", 'Chantez toujours', 'When love has come your way', ""Chanson d'amour"", ""Je t'aime j'attendrai"", 'Chantez toujours', 'When love has come your way', 'I think of you, here on my island in the sun', 'There was confusion, but my illusions did all come true', 'You gave me back my faith and then', 'I found myself in poetry again', ""Chanson d'amour"", ""Je t'aime j'attendrai"", 'Chantez toujours', 'When love has come your way', ""Chanson d'amour"", ""Je t'aime j'attendrai"", 'Chantez toujours', 'When love has come your way']"
The Nearness Of You,Dr. John,1981,https://www.azlyrics.com/lyrics/drjohn/thenearnessofyou.html,"[""It's not the pale moon that excites me"", 'Baby the thrills and delights me', ""Oh no, it's just the nearness of love of you"", ""It's not the sweet conversation"", 'Baby you know that stirs my imagination', ""Oh no, it's just the nearness of love"", ""When you're in my arms"", 'And you feel so close to me', 'Oh my wildest dreams', 'Baby come true, yes they do', 'Not the sweet conversation', 'Baby that stirs my imagination', ""Oh no, it's just the nearness of love"", 'And you, nearness of you', ""And when you're in in arms"", 'I can feel you so close to me', 'All my wildest dreams baby come true', 'Oh yes they do', 'Not the sweet conversation', 'Baby that stirs my imagination', ""Darlin', it's you, it's just the nearness of love"", ""And baby it's you, and the nearness of love"", ""Baby it's you and all the stars above"", 'And just the nearness of love, love', 'Love and you']"
You Stopped Loving Me,"Vandross, Luther",1981,https://www.azlyrics.com/lyrics/luthervandross/youstoppedlovingme.html,"['You know\r', ""I've had a lot of things happen to me in my life\r"", 'And yet', '\r', ""I don't spend much of my time\r"", ""Feelin' sad\r"", ""I don't let anything turn my sunshine to rain\r"", 'I never have', '\r', ""Well, people have told me I'm not worth the time of day\r"", 'Said I was over the hill\r', ""And it's been said that I always get in the way\r"", ""But nothin' seemed to hurt me till"", '\r', ""You stopped lovin'\r"", ""You stopped lovin' me\r"", ""Why'd you do that\r"", ""You stopped lovin'\r"", ""You stopped lovin' me\r"", ""Lovin' me\r"", ""And I don't want to do\r"", ""Don't know what I'm gonna do, my love"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', ""I just can't get it together since"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', 'Oh', '\r', 'Out of your love, my love came\r', 'You made me strong\r', ""Well, it's just a shame, I don't know who or what to blame\r"", ""Now that you're gone"", '\r', 'I walk down the avenue right where I first met you\r', ""That nothin' else could do, yeah, yeah\r"", ""Not a place I go through that I don't run into\r"", ""Somethin' to remind me that"", '\r', ""You stopped lovin'\r"", ""You stopped lovin' me\r"", ""Why'd you do that\r"", ""You stopped lovin', oh\r"", ""You stopped lovin' me\r"", ""Lovin' me\r"", ""And I don't want to do\r"", ""Don't know what I'm gonna do, my love"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', ""I just can't get it together since"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', ""No, I just can't get it together since"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', ""I just can't get it together since, no"", '\r', '(You stopped)\r', '(You stopped)\r', '(You stopped)\r', 'Ooh...oh...ho...', '\r', ""You stopped lovin', whoa, whoa\r"", ""You stopped lovin' me, whoa, whoa, whoa\r"", ""You stopped lovin', whoa, whoa\r"", ""You stopped lovin' me, whoa, whoa, whoa"", '\r', ""(You stopped lovin') I wonder why, wonder why, baby\r"", ""(You stopped lovin' me) Why'd you do it, why'd you do that\r"", ""(You stopped lovin') I wonder why, wonder why, baby\r"", ""(You stopped lovin' me) Why'd you do it, girl, girl, yeah"", '\r', ""(You stopped lovin') Why'd you do that, girl\r"", ""(You stopped lovin' me) I wanna know, wanna know, wanna know\r"", ""(You stopped lovin') Why'd you do that, baby\r"", ""(You stopped lovin' me) You stopped, you stopped, you stopped"", '\r', ""(You stopped lovin') You don't no more, you surely stopped, girl\r"", ""(You stopped lovin' me) Oh...oh...yes, you did\r"", ""(You stopped lovin') If you don't anymore, you've surely stopped, girl\r"", ""(You stopped lovin' me)"", '\r', ""(You stopped lovin') I wanna know, wanna know, wanna know\r"", ""(You stopped lovin' me) Why'd you do that, why'd you do that, baby\r"", ""(You stopped lovin')\r"", ""(You stopped lovin' me)"", '\r', ""(You stopped lovin')\r"", ""(You stopped lovin' me)""]"
Brandy(Bonus Track),Ringo Starr,1981,https://www.azlyrics.com/lyrics/ringostarr/brandy.html,"['By the open fireplace in my favourite dungarees,', 'Played a few bars of a melody and it sounded sweet to me.', 'Thought i get up and take a look around but my feet got in my way,', 'Stumbled to the floor, she was right at the door, i could even see her face.', 'But how could it be (how could it be)', 'She ran away from me.', ""My best friends gone and i'm so all alone."", ""I kind-a miss you, brandy, i'm so all alone,"", 'When are you coming back home?', ""I really miss you, brandy, missing you ev'ry day,"", 'Are you coming home to stay?', 'Sitting on a lonely beach building houses out of sand,', 'Like a little child with a fantasy, just a fraction of a man.', 'I was in love when they put her down on my doorstep in the rain,', 'I could feel the love coming into my heart through my window pane.', 'But how could i know (how could i know)', 'That she would up and go', ""My best friends gone and i'm so all alone. (alone)"", ""I really miss you, brandy, i'm so all alone,"", 'When are you coming back home?', ""I really miss you, brandy, missing you ev'ry day,"", 'Are you coming home to stay?', 'I kind-a miss you, brandy when are you coming back home?', ""I'm so all alone."", ""Said i really miss you, brandy, missing you ev'ry day,"", 'Are you coming home to stay?']"
Waiting For The Meninblack,"Stranglers, The",1981,https://www.azlyrics.com/lyrics/stranglers/waitingforthemeninblack.html,"[""I'm waiting every day I've been watching from my chimney stack"", ""I'm waiting every week I've been hoping that they're coming back"", ""I'm seeing all the signs and I'm learning how to bring them back"", ""And I'm waiting for the Meninblack"", '(Waiting for the Maninblack)', '(Waiting for the Meninblack)', '(Seeking for the Loveinblack)', '(Seeking for the Meninblack)', '(Seeking for the Meninblack)', '(Seeking for the Meninblack)', ""I'm standing on a hill and I'm looking for the glimpse of light"", ""I'm clutching my teddy bear if I don't I might die of fright"", ""I'm reading all the signs and I'm learning how to bring them back"", ""And I'm waiting for the Meninblack"", '(Standing)', '(Looking)', '(Watching)', '(Staring)', '(Looking)', '(Clutching)', '(Standing)', '(Looking)', '(Clutching)', '(Clutching)', '(Clutching)', '(Clutching)', '(Clutching)', '(Clutching)', '(Clutching)', '(Clutching)', ""I'm standing on a hill"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm learning how to bring them back"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting for the Meninblack"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting (for the meninblack)"", ""And I'm waiting""]"
One Thousand Days In Sodom,Venom,1981,https://www.azlyrics.com/lyrics/venom/onethousanddaysinsodom.html,"['Unholy city a sinners delight', 'No-one was spared out of mind, out of sight', 'Hatred and slaughter, degredation and lust', 'Self destruction never counting the cost', 'No-one knew the suffering', 'Behind the city walls', 'No-one heard the cry for help', 'No-one heard the call', 'One thousand days in sodom', 'One thousand days in sodom', 'The ways of god forgotten', 'One thousand days in sodom', 'Children slaughtered daily there mothers by their sides', 'No mercy given no matter how they cried', 'The smell of death was near', ""It's presence ever near"", 'The priests lay bound in chains no-one would ever hear', 'No-one knew the blasphemy', 'The torture and the pain', 'No-one saw the madness', 'The priests, they died in vain', 'Day completes its cycle and night takes on its role', ""Satan's cloak shrouds the land and his children spill their fold"", 'No golden cross of heaven', 'Or ancient key of kings', 'Could save the world of sinners when the midnight sabbath rings', 'Few could hear the suffering', 'And the pain of ripping flesh', 'But those who did were damned in hell', 'And breathed their final breath', 'One thousand days', ""One thousand years you've lived your life in hell""]"
Overnight Story,"Hiatt, John",1982,https://www.azlyrics.com/lyrics/johnhiatt/overnightstory.html,"['They took enough of my mind', 'To make a calculator', ""Addin' up the figures, they'll find"", ""That love's a dumbwaiter"", ""Waitin' for the dream to fade"", 'Right into you hit parade', ""Maybe I've made that long black list"", 'But I was born when we first kissed', '[Chorus:]', 'Not another overnight story', 'No overnight success', ""We've hung around too long for glory"", 'Is it too late for happiness?', 'Yesterday is over now', ""And we've come too far to bow"", ""Here comes Swifty, they're off"", 'To chase another headline', 'But all the news gets soft', 'Before it makes the deadline', 'The morning paper hits my door', ""But I don't read it any more"", 'Yes I know what went on last night', 'You made your coffin before daylight', '[Chorus]', ""They're adding inches at our expense"", 'To the measure of their capital worth', 'The next big thing is gonna dance and sing', 'Us all off of the face of this earth', 'They call it big time love', ""But I'm not nervous"", ""'Cause all your turtledoves"", 'Are out of service', 'And all those arc lights comb the sky', 'For any little birds that fly', ""You're all still jerks, and we're still here"", 'Fast asleep at the big premiere', '[Chorus]']"
Hungry Eyes,Sniff 'N' The Tears,1982,https://www.azlyrics.com/lyrics/sniffnthetears/hungryeyes.html,"['This line I shoot has no disguise', 'Straight from the rim no end in sight', ""So if you need proof that I'll survive"", 'Then take one look at these hungry eyes', 'Hungry eyes hungry eyes', 'Just take one look at these hungry eyes', ""No fortune teller's crystal ball"", 'Can shut me out or make this heart feel small', ""I've just one shot in my lifetime"", ""I'm gonna rule the roost you suckers stand in line"", 'Hungry eyes hungry eyes', 'Just take one look at these hungry eyes', 'Fancy women fancy cars', 'Fancy talk in fancy bars', ""I'll live the life that money buys"", 'To hide what lies behind these hungry eyes', 'Hungry eyes hungry eyes', 'Just take one look at these hungry eyes']"
She Bop,"Lauper, Cyndi",1983,https://www.azlyrics.com/lyrics/cyndilauper/shebop.html,"['We-hell-I see them every night in tight blue jeans -', 'In the pages of a blue boy magazine', ""Hey I've been thinking of a new sensation"", ""I'm picking up - good vibration -"", 'Oop - she bop', ""Do I wanna go out with a lion's roar"", 'Huh, yea, I wanna go south n get me some more', 'Hey, they say that a stitch in time saves nine', ""They say I better stop - or I'll go blind"", 'Oop - she bop - she bop', 'She bop--he bop--a--we bop', 'I bop--you bop--a--they bop', 'Be bop--be bop--a--lu--she bop,', 'I hope He will understand', 'She bop--he bop--a--we bop', 'I bop--you bop--a--they bop', 'Be bop--be bop--a--lu--she bop,', 'Oo--oo--she--do--she bop--she bop', '[whistle along here...]', 'Hey, hey - they say I better get a chaperone', ""Because I can't stop messin' with the danger zone"", ""No, I won't worry, and I won't fret"", ""Ain't no law against it yet"", 'Oop - she bop - she bop', 'She bop - he bop - we bop...']"
United Blood,Agnostic Front,1983,https://www.azlyrics.com/lyrics/agnosticfront/unitedblood.html,"['Talk about unity\r', 'Talk abour conformity\r', ""You don't want to support the scene\r"", ""Why don't you get the fuck away from me\r"", ""I'm a skin, you're a skin\r"", ""Who's gonna suffer\r"", 'Live in sin, where you been\r', ""You're all gonna go under\r"", ""I'm a skin, you're a skin\r"", ""You're gonna suffer\r"", 'Fight\r', 'Push around and stab each other\r', 'Fight around and kill each other\r', 'Fight Fight Fight Riot Riot\r', 'Beat him hard, beat him dead\r', 'Beat him harder, beat him down\r', 'Break their legs\r', ""We're gonna break their legs. Let's go.""]"
You Are So Beautiful,"Rogers, Kenny",1983,https://www.azlyrics.com/lyrics/kennyrogers/youaresobeautiful.html,"['You are so beautiful to me', 'You are so beautiful to me', ""Can't you see"", ""You're everything that I'd hoped for"", ""You're everything I need"", 'You are so beautiful to me', 'You are so beautiful to me', 'You are so beautiful to me ', ""Can't you see"", ""You're everything that I'd hoped for"", ""You're everything that I need"", 'You are so beautiful', 'You are so beautiful', 'You are so beautiful to me']"
Die Hard The Hunter,Def Leppard,1983,https://www.azlyrics.com/lyrics/defleppard/diehardthehunter.html,"['Shotgun \r', ""Let's welcome home the soldier boy from (Far away, far away) \r"", 'No angel of mercy just a need to destroy (Fire away, fire away) \r', ""Let's toast the hero with blood in his eyes \r"", 'The scars on his mind took so many lives \r', 'Die Hard the Hunter ', '\r', 'Welcome home soldier boy \r', 'Put down your pistol, yeah, put down your toy \r', 'Yeah, they can take your gun away from you \r', 'But never take away your attitude \r', ""They can't do that, no, they can't do that "", '\r', 'You got no enemy, no front line \r', 'The only battles in the back of your mind \r', ""You don't know how to change from bad to good \r"", 'You brought the war to your neighbourhood ', '\r', ""Back in the city, he's a man on the loose \r"", ""He is the shadow that's following you \r"", ""He takes no prisoners when he's hunting for game \r"", ""He's got a bullet and it carries your name "", '\r', '(Die hard) Caught in a trap \r', ""(Hunter) There's no lookin' back \r"", '(Die hard) He hides in the crowd \r', '(Hunter) Die Hard and Proud']"
